stop_name,stop_id,stop_nb,stop_lat,stop_lon
Van Cortlandt Park - 242 St,101,1,40.889248,-73.898583
238 St,103,2,40.884667,-73.90087
231 St,104,3,40.878856,-73.90483399999999
Marble Hill - 225 St,106,4,40.874561,-73.909831
215 St,107,5,40.869444,-73.915279
207 St,108,6,40.864621,-73.91882200000001
Dyckman St,109,7,40.860531,-73.92553599999999
191 St,110,8,40.855225,-73.929412
181 St,111,9,40.849505,-73.93359599999999
168 St - Washington Hts,112,10,40.840556,-73.940133
157 St,113,11,40.834041,-73.94489
145 St,114,12,40.826551,-73.95036
137 St - City College,115,13,40.822008,-73.953676
125 St,116,14,40.815581,-73.958372
116 St - Columbia University,117,15,40.807722,-73.96411000000001
Cathedral Pkwy,118,16,40.803967,-73.966847
103 St,119,17,40.799446,-73.968379
96 St,120,18,40.793919,-73.972323
86 St,121,19,40.788644,-73.976218
79 St,122,20,40.783934,-73.979917
72 St,123,21,40.778453,-73.98197
66 St - Lincoln Center,124,22,40.77344,-73.982209
59 St - Columbus Circle,125,23,40.768247,-73.98192899999999
50 St,126,24,40.761728,-73.98384900000001
Times Sq - 42 St,127,25,40.75529,-73.987495
34 St - Penn Station,128,26,40.750373,-73.991057
28 St,129,27,40.747215,-73.993365
23 St,130,28,40.744081,-73.99565699999999
18 St,131,29,40.74104,-73.997871
14 St,132,30,40.737826,-74.000201
Christopher St - Sheridan Sq,133,31,40.733422,-74.002906
Houston St,134,32,40.728251,-74.00536700000001
Canal St,135,33,40.722854,-74.006277
Franklin St,136,34,40.719318,-74.00688599999999
Chambers St,137,35,40.715478,-74.009266
Cortlandt St,138,36,40.711835,-74.012188
Rector St,139,37,40.707513,-74.013783
South Ferry Loop,140,38,40.701411,-74.013205
South Ferry,142,39,40.702068,-74.01366400000001
Wakefield - 241 St,201,40,40.903125,-73.85062000000001
Nereid Av,204,41,40.898379,-73.854376
233 St,205,42,40.893193,-73.857473
225 St,206,43,40.888022,-73.86034100000001
219 St,207,44,40.883895,-73.862633
Gun Hill Rd,208,45,40.87785,-73.86625600000001
Burke Av,209,46,40.871356,-73.867164
Allerton Av,210,47,40.865462,-73.867352
Pelham Pkwy,211,48,40.857192,-73.867615
Bronx Park East,212,49,40.848828,-73.86845700000001
E 180 St,213,50,40.841894,-73.873488
West Farms Sq - E Tremont Av,214,51,40.840295,-73.880049
174 St,215,52,40.837288,-73.887734
Freeman St,216,53,40.829993,-73.891865
Simpson St,217,54,40.824073,-73.893064
Intervale Av,218,55,40.822181,-73.896736
Prospect Av,219,56,40.819585,-73.90177
Jackson Av,220,57,40.81649,-73.90780700000001
3 Av - 149 St,221,58,40.816109,-73.917757
149 St - Grand Concourse,222,59,40.81841,-73.92671799999999
135 St,224,60,40.814229,-73.94077
125 St,225,61,40.807754,-73.94549499999999
116 St,226,62,40.802098,-73.949625
Central Park North (110 St),227,63,40.799075,-73.95182200000001
Park Pl,228,64,40.713051,-74.00881099999999
Fulton St,229,65,40.709416,-74.00657099999999
Wall St,230,66,40.706821,-74.0091
Clark St,231,67,40.697466,-73.99308600000001
Borough Hall,232,68,40.693219,-73.989998
Hoyt St,233,69,40.690545,-73.98506500000001
Nevins St,234,70,40.688246,-73.980492
Atlantic Av - Barclays Ctr,235,71,40.684359,-73.977666
Bergen St,236,72,40.680829,-73.975098
Grand Army Plaza,237,73,40.675235,-73.971046
Eastern Pkwy - Brooklyn Museum,238,74,40.671987,-73.964375
Franklin Av,239,75,40.670682,-73.958131
President St,241,76,40.667883,-73.950683
Sterling St,242,77,40.662742,-73.95085
Winthrop St,243,78,40.656652,-73.9502
Church Av,244,79,40.650843,-73.949575
Beverly Rd,245,80,40.645098,-73.948959
Newkirk Av,246,81,40.639967,-73.94841099999999
Flatbush Av - Brooklyn College,247,82,40.632836,-73.947642
Nostrand Av,248,83,40.669847,-73.95046600000001
Kingston Av,249,84,40.669399,-73.942161
Crown Hts - Utica Av,250,85,40.668897,-73.932942
Sutter Av - Rutland Rd,251,86,40.664717,-73.92261000000001
Saratoga Av,252,87,40.661453,-73.916327
Rockaway Av,253,88,40.662549,-73.908946
Junius St,254,89,40.663515,-73.902447
Pennsylvania Av,255,90,40.664635,-73.89489500000001
Van Siclen Av,256,91,40.665449,-73.88939499999999
New Lots Av,257,92,40.666235,-73.884079
Harlem - 148 St,301,93,40.82388,-73.93647
145 St,302,94,40.820421,-73.936245
Woodlawn,401,95,40.886037,-73.87875099999999
Mosholu Pkwy,402,96,40.87975,-73.884655
